Title,Coordinates,Website,Phone,Description,URL
M Lazy C Ranch,"39.036392, -105.416395",,,,https://www.google.com/maps/place/M+Lazy+C+Ranch/data=!4m2!3m1!1s0x876b35fd43886b09:0xe72f4cfc6d35c347
High Country Horse Campground,"36.664202, -81.603098",,,,https://www.google.com/maps/place/High+Country+Horse+Campground/data=!4m2!3m1!1s0x8851cbc608acb34d:0x9f5ec4cdb03cb1be
Rocking Horse Stables,"28.992689, -81.641388",,,,https://www.google.com/maps/place/Rocking+Horse+Stables/data=!4m2!3m1!1s0x88e7af737ba2e7a9:0x223514d2819a047a
Elk Haven,"43.835269, -103.370564",,,,https://www.google.com/maps/place/Elk+Haven/data=!4m2!3m1!1s0x877d30adef3f6801:0x71168b854cb11ddf
Long Branch Rest and Ride,"30.365055, -82.927028",,,,https://www.google.com/maps/place/Long+Branch+Rest+and+Ride/data=!4m2!3m1!1s0x88eee798d5021eb3:0xf0a951353f3e7fc9
Red Hill Horse Camp,"37.344389, -84.185705",,,,https://www.google.com/maps/place/Red+Hill+Horse+Camp/data=!4m2!3m1!1s0x8843260c21275c83:0x578c5e1acbf8e680
Shangrila Campgrounds,"29.038388, -82.239673",,,,https://www.google.com/maps/place/Shangrila+Campgrounds/data=!4m2!3m1!1s0x88e8786a3857f239:0xb0cee52535921d34
TC Performance Horses,"39.482440, -82.833805",,,,https://www.google.com/maps/place/TC+Performance+Horses/data=!4m2!3m1!1s0x88479eda331ea565:0x14621f2889b0ca3
Waterloo Horse Camp & Staging Area,"42.334788, -84.130426",,,,https://www.google.com/maps/place/Waterloo+Horse+Camp+%26+Staging+Area/data=!4m2!3m1!1s0x883cd23a4143fe53:0x2b207137f979f3cb
Goethe Trailhead Ranch RV Campground,"29.198138, -82.574994",,,,https://www.google.com/maps/place/Goethe+Trailhead+Ranch+RV+Campground/data=!4m2!3m1!1s0x88e85fee548d3b97:0x722467f33a015679
Spirit of the Suwannee Music Park,"30.394535, -82.943914",,,,https://www.google.com/maps/place/Spirit+of+the+Suwannee+Music+Park/data=!4m2!3m1!1s0x88eee1af4e4f97eb:0x333dae863522b45b
Smokey Valley Farm,"38.356054, -83.194828",,,,https://www.google.com/maps/place/Smokey+Valley+Farm/data=!4m2!3m1!1s0x884423d801895fc7:0x6fe892d091ce2934
