Title,Note,URL,Tags,Comment
,,,,
Swinging Bridge Equestrian Campground,,https://www.google.com/maps/place/Swinging+Bridge+Equestrian+Campground/data=!4m2!3m1!1s0x874915d82e077019:0x1ff2f4a71b071ef6,,
Pine Marten Run West Trailhead,,https://www.google.com/maps/place/Pine+Marten+Run+West+Trailhead/data=!4m2!3m1!1s0x4d4e9d4e2f7f7f17:0xf87286a5dc2a315,,
Bryce Valley Ranch RV and Horse Park,really good,https://www.google.com/maps/place/Bryce+Valley+Ranch+RV+and+Horse+Park/data=!4m2!3m1!1s0x87356d8ba66758ff:0x9a39599003618ec1,,
Red Rock Canyon,,https://www.google.com/maps/place/Red+Rock+Canyon/data=!4m2!3m1!1s0x80c8bdaa20785475:0x786d6474e0d10b1d,,
Pahaska Trailhead,Corrals,https://www.google.com/maps/place/Pahaska+Trailhead/data=!4m2!3m1!1s0x534e75df3aa732cd:0x11b2ccfa0448bdc9,,
W830 Little Prairie Rd,,https://www.google.com/maps/place/W830+Little+Prairie+Rd/data=!4m2!3m1!1s0x8805c26da3846793:0xdab6c58525dcca67,,
Franklin Creek State Natural Area,,https://www.google.com/maps/place/Franklin+Creek+State+Natural+Area/data=!4m2!3m1!1s0x8809014fe0d81227:0x6aa0fb9b55d87967,,
Kankakee River State Park,,https://www.google.com/maps/place/Kankakee+River+State+Park/data=!4m2!3m1!1s0x880dd99fde3d6453:0xef63301209e5633a,,
Matthiessen State Park,,https://www.google.com/maps/place/Matthiessen+State+Park/data=!4m2!3m1!1s0x88095f4845218a23:0x1ea2cb74ee45b643,,
High Knob Ranch Equestrian Campground,,https://www.google.com/maps/place/High+Knob+Ranch+Equestrian+Campground/data=!4m2!3m1!1s0x8870ee400781c233:0x9445b920925db048,,
Elk Fork Campground 6.7 outback hk,Pens ,https://www.google.com/maps/place/Elk+Fork+Campground+6.7+outback+hk/data=!4m2!3m1!1s0x534dd5d13c69b11b:0xbf5fb09c0492bdf8,,
Cedar Lake Equestrian Campground,,https://www.google.com/maps/place/Cedar+Lake+Equestrian+Campground/data=!4m2!3m1!1s0x87caea85bfaf8e03:0x60828c20e7f091fd,,
Flathat Ranch Ltd,,https://www.google.com/maps/place/Flathat+Ranch+Ltd/data=!4m2!3m1!1s0x8714ad5b428be4a1:0xc696bafe8d5e3b12,,
Ram's Horn Guest Ranch,,https://www.google.com/maps/place/Ram's+Horn+Guest+Ranch/data=!4m2!3m1!1s0x534d63128e91210f:0xa37ff5459a870003,,
Little Sunlight Camping Area,,https://www.google.com/maps/place/Little+Sunlight+Camping+Area/data=!4m2!3m1!1s0x534e8eb3efe8a01b:0x4d90b590759bd224,,
Mueller State Park,,https://www.google.com/maps/place/Mueller+State+Park/data=!4m2!3m1!1s0x8714ae7734da70d5:0xce867a8f55f4d8af,,
Hermit Park Open Space,,https://www.google.com/maps/place/Hermit+Park+Open+Space/data=!4m2!3m1!1s0x876966f9ebf32dd3:0xc9cf5b3e9329a118,,
Elk Creek Campground - Now Grand Lake KOA!,,https://www.google.com/maps/place/Elk+Creek+Campground+-+Now+Grand+Lake+KOA!/data=!4m2!3m1!1s0x8769817acc867f29:0x628cb771fc498ce9,,
Beaver Meadows Resort Ranch,,https://www.google.com/maps/place/Beaver+Meadows+Resort+Ranch/data=!4m2!3m1!1s0x87690279f0ee31d5:0xdbea11c0aaefe492,,
"Carter's Stables, LLC",,"https://www.google.com/maps/place/Carter's+Stables,+LLC/data=!4m2!3m1!1s0x873b88c9f58e5b29:0xdccc9eb3654c28ad",,
Buffalo Arena,,https://www.google.com/maps/place/Buffalo+Arena/data=!4m2!3m1!1s0x873c1ce118717621:0xa4c63f5ccdffc113,,
Marvine Campground,,https://www.google.com/maps/place/Marvine+Campground/data=!4m2!3m1!1s0x8743d6e6e82b62e3:0xef7b5483f69a7e5b,,
Fritzlans Guest Ranch,,https://www.google.com/maps/place/Fritzlans+Guest+Ranch/data=!4m2!3m1!1s0x8743da6b893c1cfd:0xfdeec792374b3c58,,
Sugarite Canyon State Park,,https://www.google.com/maps/place/Sugarite+Canyon+State+Park/data=!4m2!3m1!1s0x8710fa2eadbaa2b5:0xfcf6e79c36f965a6,,
"39°03'28.9""N 104°47'36.2""W",Fox run parking ,"https://www.google.com/maps/search/39.05803,-104.79338",,
Great Sand Dunes National Park and Preserve,,https://www.google.com/maps/place/Great+Sand+Dunes+National+Park+and+Preserve/data=!4m2!3m1!1s0x87142fe61dd9cbc7:0x33d7918ad00f83d9,,
Palisades Horse Campground,,https://www.google.com/maps/place/Palisades+Horse+Campground/data=!4m2!3m1!1s0x873e7caabc794b4b:0x8c26572b1c66d4a,,
Big Chino Ranch,,https://www.google.com/maps/place/Big+Chino+Ranch/data=!4m2!3m1!1s0x872d4fd2b25b8f35:0x7f0398733fc63e90,,
2575 Big Chino Rd,,https://www.google.com/maps/place/2575+Big+Chino+Rd/data=!4m2!3m1!1s0x872d4e847bae30a5:0xe6bab3fe557993cf,,
Soap Creek Campground,,https://www.google.com/maps/place/Soap+Creek+Campground/data=!4m2!3m1!1s0x873f79258fe33235:0xb95865dfc39695cd,,
Woods Lake Campground,Find out more about the camp and trails. They look pretty mellow,https://www.google.com/maps/place/Woods+Lake+Campground/data=!4m2!3m1!1s0x87392b4498687db3:0x768a627cef0b665e,,
Horse Ranch Park,"Very rugged and steep, sheep herds",https://www.google.com/maps/place/Horse+Ranch+Park/data=!4m2!3m1!1s0x87407b2d7ce4327d:0x5aa98cf481fd3574,,
Five Brooks Ranch,,https://www.google.com/maps/place/Five+Brooks+Ranch/data=!4m2!3m1!1s0x8085c131320b3ba5:0x51fe73cb18ec2831,,
Orick Rodeo Grounds,,https://www.google.com/maps/place/Orick+Rodeo+Grounds/data=!4m2!3m1!1s0x54d105609cf7bde3:0x63c9dca78dc31450,,
Orman Guest Ranch & Stables,Trailer rentals for day trips 20 mins away ,https://www.google.com/maps/place/Orman+Guest+Ranch+%26+Stables/data=!4m2!3m1!1s0x54d067d8ba29ae11:0x30efcde155314460,,
9S Stables,Near Zion ,https://www.google.com/maps/place/9S+Stables/data=!4m2!3m1!1s0x80caf77075a8da2d:0x6c17a8d985dceb53,,
Story’s Creek Horse & UTV Campground,"Trails are far from camp, just old logging trails",https://www.google.com/maps/place/Story%E2%80%99s+Creek+Horse+%26+UTV+Campground/data=!4m2!3m1!1s0x87d0a5ae380658e9:0x96fd9e6b3590787c,,
336 E 375 S,Horse Motel,https://www.google.com/maps/place/336+E+375+S/data=!4m2!3m1!1s0x886b6554b66cce85:0x9f2522f1378369d6,,
Come Again Horse Camp,,https://www.google.com/maps/place/Come+Again+Horse+Camp/data=!4m2!3m1!1s0x886eca856c9d8ced:0x980749211def95d4,,
Tombstone Livery Stable & RV park,Ride to Monument ranch for drinks ,https://www.google.com/maps/place/Tombstone+Livery+Stable+%26+RV+park/data=!4m2!3m1!1s0x86d73cee20f4c931:0x42b879d63ec70226,,
N Bar Ranch,,https://www.google.com/maps/place/N+Bar+Ranch/data=!4m2!3m1!1s0x872701aa852e6b79:0xb58d6357afd185a1,,
Canyon Trails Ranch,6 LQ sites w corrals,https://www.google.com/maps/place/Canyon+Trails+Ranch/data=!4m2!3m1!1s0x87397081f3136c4b:0xcb75585e2f19f877,,
926 Fletcher Rd,Badlands horse camp ,https://www.google.com/maps/place/926+Fletcher+Rd/data=!4m2!3m1!1s0x88611cfb48303e9b:0x341d649fa2be1df3,,
Love Valley,,https://www.google.com/maps/place/Love+Valley/data=!4m2!3m1!1s0x8851661f97c79b27:0x5fac8237167af0e8,,
Johnson Creek Recreation Area,,https://www.google.com/maps/place/Johnson+Creek+Recreation+Area/data=!4m2!3m1!1s0x8877afa4f813bbf5:0xd5c4ee5636c1f7ed,,
